euctr_id,other_id,field,provenance
2004-005172-17,NA,US NCT number,results_page
2004-005172-17,NA,ISRCTN number,results_page
2004-004352-40,NA,US NCT number,download
2004-004352-40,NA,other,downlaod
2004-004352-40,NA,US NCT number,results_page
2004-004352-40,NA,ISRCTN number,results_page
2004-003816-47,NA,US NCT number,download
2004-003816-47,NA,other,downlaod
2004-003816-47,NA,US NCT number,results_page
2004-003816-47,NA,ISRCTN number,results_page
2004-000957-47,NA,US NCT number,download
2004-000957-47,NA,other,downlaod
2004-000957-47,NA,US NCT number,results_page
2004-000957-47,NA,ISRCTN number,results_page
2021-006176-16,NA,US NCT number,download
2021-006176-16,NA,other,downlaod
2021-006176-16,NA,US NCT number,results_page
2021-006176-16,NA,ISRCTN number,results_page
2021-006031-25,NA,US NCT number,download
2021-006031-25,NA,other,downlaod
2021-006031-25,NA,US NCT number,results_page
2021-006031-25,NA,ISRCTN number,results_page
2021-002245-15,NA,US NCT number,download
2021-002245-15,NA,other,downlaod
2021-002245-15,NA,US NCT number,results_page
2021-002245-15,NA,ISRCTN number,results_page
2021-001512-28,NA,US NCT number,download
2021-001512-28,NA,other,downlaod
2021-001512-28,NA,US NCT number,results_page
2021-001512-28,NA,ISRCTN number,results_page
2021-000962-14,NA,US NCT number,download
2021-000962-14,NA,other,downlaod
2021-000962-14,NA,US NCT number,results_page
2021-000962-14,NA,ISRCTN number,results_page
2021-000613-16,NA,US NCT number,download
2021-000613-16,NA,other,downlaod
2021-000613-16,NA,US NCT number,results_page
2021-000613-16,NA,ISRCTN number,results_page
2021-000319-21,NA,US NCT number,download
2021-000319-21,NA,other,downlaod
2021-000319-21,NA,US NCT number,results_page
2021-000319-21,NA,ISRCTN number,results_page
2020-006144-18,NA,US NCT number,download
2020-006144-18,AIO Number AIO-KRK-0419,other,downlaod
2020-006144-18,NA,US NCT number,results_page
2020-006144-18,NA,ISRCTN number,results_page
2020-004399-16,NA,US NCT number,download
2020-004399-16,NA,other,downlaod
2020-004399-16,NA,US NCT number,results_page
2020-004399-16,NA,ISRCTN number,results_page
2020-004102-63,NA,US NCT number,download
2020-004102-63,NA,other,downlaod
2020-004102-63,NA,US NCT number,results_page
